,OPER_CAP,SUMMER_CAP,WINTER_CAP,PLAN_CAP,RETIRE_CAP,GEN_UNITS,PLAN_UNIT,RETIR_UNIT,PRIM_FUEL,SEC_FUEL,COAL_USED,NGAS_USED,OIL_USED,CAP_FACTOR,LINES
1864,0.0,0.0,0.0,0.0,20.0,0,0,1,NOT AVAILABLE,NOT AVAILABLE,0,0,0,0.0,0
1865,47.0,45.6,46.0,0.0,0.0,1,0,0,NG,NOT AVAILABLE,0,622002,0,0.150134182,0
1866,74.0,74.0,74.0,0.0,0.0,1,0,0,WND,NOT AVAILABLE,0,0,0,0.27138097,0
1867,110.0,78.1,82.4,0.0,0.0,2,0,0,GEO,NOT AVAILABLE,0,0,0,0.50249797,0
1868,0.0,0.0,0.0,0.0,136.1,0,0,8,NG,MWH,0,0,0,0.0,0
1869,0.0,0.0,0.0,2.0,0.0,0,1,0,SUN,NOT AVAILABLE,0,0,0,0.0,0
1870,2.0,0.0,0.0,0.0,0.0,0,0,0,SUN,NOT AVAILABLE,0,0,0,0.0,0
1871,0.0,0.0,0.0,0.0,150.0,0,0,1,WND,NOT AVAILABLE,0,0,0,0.0,0
1872,483.0,392.2,406.4,0.0,0.0,2,0,0,NG,NOT AVAILABLE,0,17456591,0,0.796917168,1
1873,0.0,0.0,0.0,30.0,0.0,0,2,0,MWH,NOT AVAILABLE,0,0,0,0.0,0
1874,1.5,0.0,0.0,0.0,0.0,0,0,0,SUN,NOT AVAILABLE,0,0,0,0.0,0
1875,0.0,0.0,0.0,0.0,18.6,0,0,1,DFO,NOT AVAILABLE,0,0,0,0.0,0
1876,7.0,7.0,7.0,0.0,0.0,5,0,0,WAT,NOT AVAILABLE,0,0,0,0.36741683,1
1877,2.3,2.2,2.1,0.0,0.0,2,0,0,WAT,NOT AVAILABLE,0,0,0,0.054275633,0
1878,3.6,3.4,3.4,0.0,0.0,2,0,0,MSW,NG,0,0,0,0.384300295,0
1879,0.0,0.0,0.0,150.0,0.0,0,1,0,SUN,NOT AVAILABLE,0,0,0,0.0,0
1880,1.2,0.0,0.0,0.0,0.0,0,0,0,SUN,NOT AVAILABLE,0,0,0,0.0,0
