,temperature_2_m_above_gnd,relative_humidity_2_m_above_gnd,mean_sea_level_pressure_MSL,total_precipitation_sfc,snowfall_amount_sfc,total_cloud_cover_sfc,high_cloud_cover_high_cld_lay,medium_cloud_cover_mid_cld_lay,low_cloud_cover_low_cld_lay,shortwave_radiation_backwards_sfc,wind_speed_10_m_above_gnd,wind_direction_10_m_above_gnd,wind_speed_80_m_above_gnd,wind_direction_80_m_above_gnd,wind_speed_900_mb,wind_direction_900_mb,wind_gust_10_m_above_gnd,angle_of_incidence,zenith,azimuth
120,11.03,59,1022.8,0.0,0.0,100.0,0,0,100,284.8,5.62,230.19,6.64,229.4,6.11,225.0,15.84,60.952041,83.537027,234.69882
121,10.88,60,1022.6,0.0,0.0,83.0,0,0,83,225.17,7.07,194.74,8.05,190.3,7.64,188.13,16.2,106.69672,120.23022,215.21543
122,0.79,93,1020.6,0.0,0.0,1.0,0,0,1,0.0,20.18,195.52,35.6,204.49,22.96,193.6,34.92,59.83574,82.723909,126.07362
123,2.61,91,1019.1,0.0,0.0,8.0,0,8,1,3.56,23.22,199.0,37.54,204.35,26.18,198.43,33.84,46.187931,74.317509,137.42462
124,5.84,77,1018.4,0.0,0.0,36.0,0,36,1,121.04,30.49,202.93,41.38,206.34,32.57,203.45,40.68,33.139627,67.636531,150.40752
125,7.08,71,1017.3,0.0,0.0,0.0,0,0,0,268.78,30.92,207.76,39.03,209.88,32.04,207.43,42.48,22.061843,63.323701,165.0127
126,8.51,64,1015.3,0.0,0.0,13.0,22,13,0,386.26,30.57,212.01,36.75,214.62,31.06,212.22,42.84,17.288684,61.898913,180.65482
127,8.96,55,1015.2,0.0,0.0,100.0,100,100,0,389.82,28.4,210.47,33.35,212.66,29.02,209.74,42.12,22.816323,63.56121,196.25188
128,9.17,53,1013.9,0.0,0.0,100.0,100,100,0,395.16,29.27,211.93,34.25,213.86,29.7,210.61,43.92,34.161975,68.07974,210.74617
129,7.0,69,1013.6,0.0,0.0,100.0,100,100,0,186.9,29.39,210.96,37.75,212.93,30.81,210.16,45.0,47.29302,74.918788,223.6008
130,7.01,74,1013.3,0.0,0.0,100.0,100,100,0,107.69,28.66,206.89,36.89,208.57,29.95,205.64,45.36,60.736301,83.273945,234.67098
