,OPER_CAP,SUMMER_CAP,WINTER_CAP,PLAN_CAP,RETIRE_CAP,GEN_UNITS,PLAN_UNIT,RETIR_UNIT,PRIM_FUEL,SEC_FUEL,COAL_USED,NGAS_USED,OIL_USED,CAP_FACTOR,LINES,NET_GEN
1587,2.1,2.1,2.1,0.0,0.0,6,0,0,WAT,NOT AVAILABLE,0,0,0,0.840780604,1,15467.0
1588,69.2,56.4,65.2,0.0,67.0,4,0,1,NG,PC,0,1124236,0,0.191566275,1,94646.0
1589,3.4,3.4,3.4,0.0,0.0,1,0,0,WAT,NOT AVAILABLE,0,0,0,0.225322321,0,6711.0
1590,1.5,1.0,1.0,0.0,0.0,5,0,0,WAT,NOT AVAILABLE,0,0,0,0.646689498,0,5665.0
1591,10.6,10.6,10.6,0.0,0.0,1,0,0,PUR,NOT AVAILABLE,0,0,0,0.261587835,1,24290.0
1592,3.6,3.6,3.6,0.0,0.0,4,0,0,NG,NOT AVAILABLE,0,231437,0,0.630232116,0,19875.0
1593,44.5,41.5,44.5,0.0,4.0,5,0,1,NG,DFO,0,2846404,3181,0.382538373,0,139068.0
1594,1.6,1.6,1.6,0.0,0.0,1,0,0,WAT,NOT AVAILABLE,0,0,0,0.46347032,0,6496.0
1595,2.0,2.0,2.0,0.0,0.0,2,0,0,WAT,NOT AVAILABLE,0,0,0,0.741666667,0,12994.0
1596,69.7,63.5,70.5,0.0,11.2,16,0,4,WDS,WAT,13354,0,7180,0.170241603,0,94698.594
1597,12.5,11.7,11.8,0.0,0.0,1,0,0,NG,NOT AVAILABLE,0,1784471,0,0.15516333,0,15903.0
1598,120.2,104.9,124.6,0.0,0.0,3,0,0,NG,NOT AVAILABLE,0,9476685,0,1.004983002,1,923503.0
1599,85.1,77.1,77.1,0.0,0.0,2,0,0,BLQ,WDS,0,890883,191612,0.701151794,1,473555.117
1600,69.4,36.9,28.2,0.0,0.0,5,0,0,BLQ,NG,0,4156871,38773,0.840161401,0,271577.132
1601,1.6,1.1,1.1,0.0,0.0,3,0,0,WAT,NOT AVAILABLE,0,0,0,0.0,1,0.0
1602,0.0,0.0,0.0,0.0,27.3,0,0,1,OTH,NG,0,0,0,0.0,1,0.0
1603,18.8,15.9,15.9,0.0,0.0,1,0,0,OTH,DFO,0,292795,0,0.821285991,1,114391.998
1604,7.9,7.4,7.4,0.0,0.0,3,0,0,WDS,WAT,0,161810,0,0.825095644,1,53486.0
1605,194.3,194.3,194.3,0.0,0.0,19,0,0,BIT,NG,536718,23254975,0,0.663555155,1,1129415.995
1606,49.0,44.6,44.7,0.0,41.2,3,0,7,AB,DFO,0,28969,5889,0.672714845,0,262826.999
1607,0.0,0.0,0.0,0.0,30.5,0,0,6,AB,DFO,0,0,0,0.0,0,0.0
1608,162.0,103.0,110.0,0.0,0.0,3,0,0,PUR,NOT AVAILABLE,0,0,0,0.167820411,0,151421.0
1609,3.4,2.7,2.7,0.0,0.0,1,0,0,NG,NOT AVAILABLE,0,1421,0,0.016996449,0,402.0
1610,0.0,0.0,0.0,0.0,191.6,0,0,4,NG,NOT AVAILABLE,0,0,0,0.0,0,0.0
1611,70.5,52.4,61.3,0.0,0.0,2,0,0,NG,DFO,0,114557,0,0.022863728,0,10495.0
1612,0.0,0.0,0.0,0.0,21.0,0,0,1,OTH,NOT AVAILABLE,0,0,0,0.0,0,0.0
1613,32.6,32.6,32.6,0.0,0.0,3,0,0,WAT,NOT AVAILABLE,0,0,0,0.372349217,1,106334.0
1614,1.8,2.5,2.5,0.0,0.0,1,0,0,WAT,NOT AVAILABLE,0,0,0,0.153059361,0,3352.0
1615,1.1,1.1,1.1,0.0,0.0,3,0,0,WAT,NOT AVAILABLE,0,0,0,0.306143628,0,2950.0
1616,14.8,14.0,13.6,0.0,0.0,2,0,0,WAT,NOT AVAILABLE,0,0,0,0.401378017,0,49225.0
1617,180.0,165.0,186.0,0.0,0.0,3,0,0,DFO,NOT AVAILABLE,0,0,6245,0.00241594,0,3492.0
1618,251.8,244.0,254.0,0.0,0.0,4,0,0,NG,DFO,0,4515628,150,0.244939275,0,523543.004
1619,6.0,5.8,6.6,0.0,0.0,2,0,0,LFG,NOT AVAILABLE,0,0,0,0.601066761,0,30539.0
1620,0.0,0.0,0.0,0.0,2.4,0,0,3,LFG,NOT AVAILABLE,0,0,0,0.0,0,0.0
1621,2.4,2.4,2.4,0.0,0.0,3,0,0,NG,NOT AVAILABLE,0,205914,0,0.910673516,0,19146.0
